metric	value
input_set	packaged_mhc_smoke
algorithm	CFC
backend	gpu-float32
batch_size	100
n_iter	1000
bridge_mode	risk
risk_threshold	0.45
soft_bridge_mode	phaselet
soft_risk_threshold	0.75
soft_edge_scale	0.25
hyperread_norm	sqrt_cap
hyperread_cap	10.0
reads	12259
snps_in_observation_graph	10200
observations	498889
raw_spins	22459
phaselets	65
hyperreads	75
compressed_nodes	140
SE_percent	0.255503144654088
HE_percent	0.19609765663300324
haplotype_N50_kb	308.971
SNP_completeness_percent	77.67877541695225
switches	26
hamming	20
hamming_denominator	10199
solver_runtime_s	7.86
config_wall_s	15.36
